[T:65104] LOCAL | ACC: 0.0035 0.0052 -0.0600 | GYR: 0.1315 1.8826 -0.0991
[T:25747] LOCAL | ACC: 0.0034 0.0052 -0.0601 | GYR: 0.1258 1.8845 -0.1029
[T:45810] LOCAL | ACC: 0.0034 0.0052 -0.0601 | GYR: 0.1420 1.7959 -0.0600
[T:65843] LOCAL | ACC: 0.0033 0.0053 -0.0599 | GYR: 0.1629 1.8331 -0.0781
[T:85877] LOCAL | ACC: 0.0034 0.0052 -0.0601 | GYR: 0.1925 1.8683 -0.1010
[T:105957] LOCAL | ACC: 0.0034 0.0052 -0.0600 | GYR: 0.1391 1.8502 -0.0781
[T:125992] LOCAL | ACC: 0.0034 0.0052 -0.0602 | GYR: 0.1391 1.8388 -0.0857
[T:146026] LOCAL | ACC: 0.0035 0.0052 -0.0599 | GYR: 0.1915 1.8026 -0.0448
[T:166061] LOCAL | ACC: 0.0034 0.0051 -0.0601 | GYR: 0.1648 1.8445 -0.1134
[T:186098] LOCAL | ACC: 0.0034 0.0051 -0.0603 | GYR: 0.1639 1.8836 -0.1143
[T:206131] LOCAL | ACC: 0.0037 0.0051 -0.0605 | GYR: 0.1439 1.7797 -0.0553
[T:226165] LOCAL | ACC: 0.0036 0.0051 -0.0602 | GYR: 0.1096 1.8874 -0.0753
[T:246205] LOCAL | ACC: 0.0032 0.0051 -0.0603 | GYR: 0.1534 1.8950 -0.0591
[T:266238] LOCAL | ACC: 0.0036 0.0050 -0.0606 | GYR: 0.1686 1.8807 -0.1143
[T:286271] LOCAL | ACC: 0.0036 0.0051 -0.0601 | GYR: 0.1648 1.8740 -0.0800
[T:306305] LOCAL | ACC: 0.0035 0.0051 -0.0603 | GYR: 0.1562 1.9207 -0.0753
[T:326339] LOCAL | ACC: 0.0036 0.0050 -0.0603 | GYR: 0.1362 1.9179 -0.0667
[T:346372] LOCAL | ACC: 0.0035 0.0051 -0.0602 | GYR: 0.1925 1.9169 -0.0934
[T:366409] LOCAL | ACC: 0.0034 0.0051 -0.0602 | GYR: 0.1696 1.8121 -0.0829
[T:386445] LOCAL | ACC: 0.0034 0.0050 -0.0602 | GYR: 0.1867 1.8579 -0.1220
[T:406479] LOCAL | ACC: 0.0037 0.0050 -0.0601 | GYR: 0.1658 1.8502 -0.0648
[T:25018] LOCAL | ACC: 0.0034 0.0052 -0.0603 | GYR: 0.0800 1.8826 -0.1229
[T:25132] NODO2 | ACC: -0.0088 0.0071 1.0042 | GYR: 0.0763 0.2748 0.0687 | TEMP: 50.69
[T:30165] NODO3 | BPM: 86.96 | V: 3.93 | BAT: 77.14
[T:35198] NODO3 | BPM: 86.85 | V: 3.93 | BAT: 77.14
[T:40279] NODO3 | BPM: 87.39 | V: 3.93 | BAT: 77.14
[T:45075] LOCAL | ACC: 0.0033 0.0052 -0.0603 | GYR: 0.0953 1.8855 -0.1496
[T:62692] NODO3 | BPM: 83.60 | V: 3.92 | BAT: 76.78
[T:65105] LOCAL | ACC: 0.0032 0.0052 -0.0603 | GYR: 0.0915 1.8826 -0.1048
[T:67725] NODO3 | BPM: 82.46 | V: 3.92 | BAT: 76.78
[T:72758] NODO3 | BPM: 81.89 | V: 3.92 | BAT: 76.78
[T:77791] NODO3 | BPM: 81.30 | V: 3.93 | BAT: 77.23
[T:82824] NODO3 | BPM: 80.41 | V: 3.93 | BAT: 77.23
[T:85137] LOCAL | ACC: 0.0034 0.0052 -0.0602 | GYR: 0.1305 1.9103 -0.1000
[T:94160] NODO2 | ACC: 0.0032 0.0002 0.9960 | GYR: -0.0916 0.0534 0.1069 | TEMP: 50.60
[T:105194] LOCAL | ACC: 0.0034 0.0051 -0.0600 | GYR: 0.0953 1.8931 -0.0972
