[2026-04-07 22:10:28] LOCAL | ACC: 0.0035 0.0053 -0.0600 | GYR: 0.2115 1.8559 -0.1210
[2026-04-07 22:10:48] LOCAL | ACC: 0.0034 0.0054 -0.0599 | GYR: 0.2039 1.8197 -0.1267
[2026-04-07 22:11:08] LOCAL | ACC: 0.0035 0.0053 -0.0599 | GYR: 0.1925 1.8636 -0.1315
[2026-04-07 22:11:28] LOCAL | ACC: 0.0035 0.0050 -0.0603 | GYR: 0.2039 1.8359 -0.0962
[2026-04-07 22:11:48] LOCAL | ACC: 0.0035 0.0055 -0.0602 | GYR: 0.2687 1.8645 -0.0810
[2026-04-07 22:12:08] LOCAL | ACC: 0.0033 0.0050 -0.0600 | GYR: 0.2611 1.8807 -0.0734
[2026-04-07 22:12:28] LOCAL | ACC: 0.0033 0.0049 -0.0602 | GYR: 0.2563 1.7978 -0.1048
[2026-04-07 22:12:48] LOCAL | ACC: 0.0034 0.0050 -0.0602 | GYR: 0.2268 1.8378 -0.0696
[2026-04-07 22:13:08] LOCAL | ACC: 0.0032 0.0052 -0.0603 | GYR: 0.2449 1.8369 -0.0753
[2026-04-07 22:13:28] LOCAL | ACC: 0.0031 0.0049 -0.0603 | GYR: 0.2277 1.8312 -0.0934
[2026-04-07 22:13:48] LOCAL | ACC: 0.0032 0.0052 -0.0602 | GYR: 0.2144 1.7302 -0.0838
[2026-04-07 22:14:08] LOCAL | ACC: 0.0032 0.0050 -0.0601 | GYR: 0.2611 1.7654 -0.1096
[2026-04-07 22:14:28] LOCAL | ACC: 0.0031 0.0049 -0.0601 | GYR: 0.2401 1.7893 -0.0657
[2026-04-07 22:14:48] LOCAL | ACC: 0.0035 0.0049 -0.0603 | GYR: 0.2582 1.7778 -0.1058
[2026-04-07 22:15:08] LOCAL | ACC: 0.0032 0.0049 -0.0602 | GYR: 0.2506 1.7121 -0.0800
[2026-04-07 22:15:28] LOCAL | ACC: 0.0031 0.0050 -0.0603 | GYR: 0.2811 1.7769 -0.0800
[2026-04-07 22:15:48] LOCAL | ACC: 0.0035 0.0049 -0.0604 | GYR: 0.2944 1.7464 -0.0619
[2026-04-07 22:16:08] LOCAL | ACC: 0.0033 0.0049 -0.0600 | GYR: 0.2830 1.7578 -0.0238
[2026-04-07 22:16:28] LOCAL | ACC: 0.0032 0.0053 -0.0602 | GYR: 0.2887 1.7492 -0.0553
[2026-04-07 22:16:48] LOCAL | ACC: 0.0034 0.0055 -0.0600 | GYR: 0.2820 1.7702 -0.0972
[2026-04-07 22:17:08] LOCAL | ACC: 0.0033 0.0049 -0.0604 | GYR: 0.3163 1.7635 -0.0905
[2026-04-07 22:17:28] LOCAL | ACC: 0.0035 0.0049 -0.0603 | GYR: 0.2563 1.7302 -0.0838
[2026-04-07 22:17:48] LOCAL | ACC: 0.0035 0.0049 -0.0601 | GYR: 0.3135 1.7893 -0.1019
[2026-04-07 22:18:09] LOCAL | ACC: 0.0034 0.0052 -0.0602 | GYR: 0.2611 1.7692 -0.1334
[2026-04-07 22:18:29] LOCAL | ACC: 0.0034 0.0051 -0.0601 | GYR: 0.2973 1.7188 -0.0962
[2026-04-07 22:18:49] LOCAL | ACC: 0.0033 0.0049 -0.0601 | GYR: 0.3335 1.7302 -0.1048
[2026-04-07 22:19:09] LOCAL | ACC: 0.0034 0.0049 -0.0602 | GYR: 0.3306 1.7397 -0.1115
[2026-04-07 22:19:29] LOCAL | ACC: 0.0034 0.0049 -0.0599 | GYR: 0.3173 1.7788 -0.1058
[2026-04-07 22:19:49] LOCAL | ACC: 0.0032 0.0052 -0.0601 | GYR: 0.3192 1.7397 -0.0857
[2026-04-07 22:20:09] LOCAL | ACC: 0.0035 0.0050 -0.0602 | GYR: 0.3049 1.7245 -0.0657
[2026-04-07 22:20:29] LOCAL | ACC: 0.0034 0.0052 -0.0599 | GYR: 0.3296 1.7950 -0.1124
[2026-04-07 22:20:49] LOCAL | ACC: 0.0033 0.0050 -0.0602 | GYR: 0.3163 1.7264 -0.0762
[2026-04-07 22:21:09] LOCAL | ACC: 0.0036 0.0049 -0.0602 | GYR: 0.3135 1.7330 -0.1048
[2026-04-07 22:21:29] LOCAL | ACC: 0.0032 0.0049 -0.0601 | GYR: 0.2906 1.7712 -0.1172
[2026-04-07 22:21:49] LOCAL | ACC: 0.0035 0.0049 -0.0600 | GYR: 0.2772 1.7635 -0.0553
[2026-04-07 22:22:09] LOCAL | ACC: 0.0034 0.0049 -0.0600 | GYR: 0.3382 1.7578 -0.0905
[2026-04-07 22:22:29] LOCAL | ACC: 0.0037 0.0048 -0.0602 | GYR: 0.3411 1.7349 -0.1305
[2026-04-07 22:22:49] LOCAL | ACC: 0.0036 0.0051 -0.0602 | GYR: 0.3430 1.7188 -0.0838
[2026-04-07 22:23:09] LOCAL | ACC: 0.0028 0.0052 -0.0603 | GYR: 0.3268 1.7188 -0.1172
[2026-04-07 22:23:29] LOCAL | ACC: 0.0033 0.0049 -0.0601 | GYR: 0.3706 1.8007 -0.1096
[2026-04-07 22:23:49] LOCAL | ACC: 0.0033 0.0050 -0.0601 | GYR: 0.3344 1.7864 -0.0838
[2026-04-07 22:24:09] LOCAL | ACC: 0.0034 0.0049 -0.0601 | GYR: 0.3449 1.7578 -0.0600
[2026-04-07 22:24:29] LOCAL | ACC: 0.0034 0.0054 -0.0602 | GYR: 0.3544 1.7349 -0.0648
[2026-04-07 22:24:49] LOCAL | ACC: 0.0031 0.0053 -0.0600 | GYR: 0.3401 1.7854 -0.0905
[2026-04-07 22:25:09] LOCAL | ACC: 0.0034 0.0051 -0.0599 | GYR: 0.3706 1.7483 -0.0896
[2026-04-07 22:25:29] LOCAL | ACC: 0.0034 0.0048 -0.0600 | GYR: 0.3582 1.7302 -0.0762
[2026-04-07 22:25:49] LOCAL | ACC: 0.0033 0.0049 -0.0604 | GYR: 0.3478 1.6625 -0.1000
[2026-04-07 22:26:09] LOCAL | ACC: 0.0033 0.0049 -0.0605 | GYR: 0.3687 1.7950 -0.0534
[2026-04-07 22:26:29] LOCAL | ACC: 0.0036 0.0049 -0.0601 | GYR: 0.3392 1.7559 -0.0810
[2026-04-07 22:26:49] LOCAL | ACC: 0.0035 0.0049 -0.0603 | GYR: 0.3506 1.7702 -0.0772
[2026-04-07 22:27:09] LOCAL | ACC: 0.0033 0.0048 -0.0603 | GYR: 0.3544 1.7578 -0.1000
[2026-04-07 22:27:29] LOCAL | ACC: 0.0035 0.0049 -0.0603 | GYR: 0.3573 1.7654 -0.0810
